 ; ;Classe 0;Classe 1;Classe 2;All Class;;
Execution Number;Accuracy ;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score;Precision/Recall/F-Score/Support;Silhouette Coefficient;Time (seconds)
1;0.33333333333333331;[ 0.3625      0.375       0.27419355];[ 0.31868132  0.3220339   0.36690647];[ 0.33918129  0.34650456  0.31384615];[   0.33723118    0.3358739     0.33317733  166.        ];-0.026957731905930378;10.174.000.000.953.600
2;0.31726907630522089;[ 0.35393258  0.35365854  0.23717949];[ 0.34615385  0.32768362  0.26618705];[ 0.35        0.34017595  0.25084746];[   0.31492354    0.3133415     0.31367447  166.        ];-0.030806794592334399;8.797.800.016.403.190
3;0.34337349397590361;[ 0.375       0.34659091  0.31176471];[ 0.31318681  0.34463277  0.38129496];[ 0.34131737  0.34560907  0.34304207];[   0.34445187    0.34637152    0.34332283  166.        ];-0.033251495092070364;9.308.399.987.220.760
4;0.30923694779116467;[ 0.33522727  0.31210191  0.27878788];[ 0.32417582  0.27683616  0.33093525];[ 0.32960894  0.29341317  0.30263158];[   0.30870569    0.31064908    0.30855123  166.        ];-0.029516521407690424;9.252.300.000.190.730
5;0.31325301204819278;[ 0.36781609  0.30864198  0.25925926];[ 0.35164835  0.28248588  0.30215827];[ 0.35955056  0.29498525  0.27906977];[   0.31190578    0.3120975     0.31120186  166.        ];-0.025791536941653655;9.644.299.983.978.270
6;0.33734939759036142;[ 0.36196319  0.37106918  0.28409091];[ 0.32417582  0.33333333  0.35971223];[ 0.34202899  0.35119048  0.31746032];[   0.33904109    0.3390738     0.33689326  166.        ];-0.016173455532406955;950.220.000.743.866
7;0.32329317269076308;[ 0.33333333  0.39506173  0.23899371];[ 0.32417582  0.36158192  0.27338129];[ 0.32869081  0.37758112  0.25503356];[   0.32246292    0.31971301    0.32043516  166.        ];-0.044164298794943865;9.939.900.016.784.660
8;0.34136546184738958;[ 0.37426901  0.35        0.2994012 ];[ 0.35164835  0.31638418  0.35971223];[ 0.36260623  0.33234421  0.32679739];[   0.3412234     0.34258159    0.34058261  166.        ];-0.029941528730315324;9.106.299.996.376.030
9;0.3634538152610442;[ 0.35911602  0.38922156  0.34      ];[ 0.35714286  0.36723164  0.36690647];[ 0.35812672  0.37790698  0.35294118];[   0.36277919    0.36376032    0.36299162  166.        ];-0.043092100718935239;1.014.760.000.705.710
10;0.31526104417670681;[ 0.34659091  0.35329341  0.23870968];[ 0.33516484  0.33333333  0.26618705];[ 0.34078212  0.34302326  0.25170068];[   0.31286467    0.31156174    0.31183535  166.        ];-0.02902146537980763;9.156.699.991.226.190
11;0.33132530120481929;[ 0.375       0.35087719  0.26415094];[ 0.34615385  0.33898305  0.30215827];[ 0.36        0.34482759  0.28187919];[   0.33000938    0.32909839    0.32890226  166.        ];-0.017958504391421375;8.770.900.011.062.620
12;0.31526104417670681;[ 0.33742331  0.31736527  0.29166667];[ 0.3021978   0.29943503  0.35251799];[ 0.31884058  0.30813953  0.31921824];[   0.31548508    0.31805027    0.31539945  166.        ];-0.023737150605656798;9.031.000.018.119.810
13;0.3112449799196787;[ 0.35        0.38297872  0.21468927];[ 0.34615385  0.30508475  0.27338129];[ 0.3480663   0.33962264  0.24050633];[   0.31588933    0.30820663    0.30939842  166.        ];-0.045293556729695733;9.175.200.009.346.000
14;0.31927710843373491;[ 0.325       0.37419355  0.26775956];[ 0.28571429  0.32768362  0.35251799];[ 0.30409357  0.34939759  0.30434783];[   0.3223177     0.32197196    0.31927966  166.        ];-0.035545442675470766;9.338.399.982.452.390
15;0.3393574297188755;[ 0.37125749  0.38505747  0.25477707];[ 0.34065934  0.37853107  0.28776978];[ 0.35530086  0.38176638  0.27027027];[   0.33703068    0.3356534     0.33577917  166.        ];-0.028706879237779509;10.015.100.002.288.800
16;0.32128514056224899;[ 0.36686391  0.33742331  0.25903614];[ 0.34065934  0.31073446  0.30935252];[ 0.35327635  0.32352941  0.28196721];[   0.32110779    0.32024877    0.31959099  166.        ];-0.023948071691487358;9.862.199.997.901.910
17;0.34538152610441769;[ 0.34337349  0.37086093  0.32596685];[ 0.31318681  0.31638418  0.42446043];[ 0.32758621  0.34146341  0.36875   ];[   0.34673376    0.35134381    0.34593321  166.        ];-0.032920786338083652;10.615.599.989.891.000
18;0.32128514056224899;[ 0.33333333  0.32738095  0.30188679];[ 0.31318681  0.31073446  0.34532374];[ 0.32294618  0.31884058  0.32214765];[   0.32086703    0.32308167    0.32131147  166.        ];-0.020931468433250517;9.558.999.991.416.930
19;0.37148594377510041;[ 0.39204545  0.40397351  0.32163743];[ 0.37912088  0.34463277  0.39568345];[ 0.38547486  0.37195122  0.35483871];[   0.37255213    0.3731457     0.37075493  166.        ];-0.03570885733803611;10.198.399.996.757.500
20;0.27309236947791166;[ 0.3190184   0.31325301  0.18934911];[ 0.28571429  0.29378531  0.23021583];[ 0.30144928  0.303207    0.20779221];[   0.27387351    0.26990514    0.27081616  166.        ];-0.045574107569562081;9.277.099.990.844.720
21;0.3112449799196787;[ 0.31952663  0.34375     0.27218935];[ 0.2967033   0.31073446  0.33093525];[ 0.30769231  0.3264095   0.2987013 ];[   0.31182199    0.312791      0.31093437  166.        ];-0.029834491197033138;8.482.800.006.866.450
22;0.32329317269076308;[ 0.35294118  0.36309524  0.25      ];[ 0.32967033  0.34463277  0.28776978];[ 0.34090909  0.35362319  0.26755853];[   0.32201214    0.32069096    0.32069694  166.        ];-0.02691734638196901;7.797.300.004.959.100
23;0.29116465863453816;[ 0.30635838  0.30674847  0.25925926];[ 0.29120879  0.28248588  0.30215827];[ 0.29859155  0.29411765  0.27906977];[   0.2907887     0.29195098    0.29059299  166.        ];-0.040084901544064126;9.093.099.999.427.790
24;0.35140562248995982;[ 0.36516854  0.40490798  0.28025478];[ 0.35714286  0.37288136  0.31654676];[ 0.36111111  0.38823529  0.2972973 ];[   0.35011043    0.34885699    0.34888123  166.        ];-0.032403695689131207;10.007.200.002.670.200
25;0.30321285140562249;[ 0.32954545  0.33333333  0.25414365];[ 0.31868132  0.26553672  0.33093525];[ 0.32402235  0.29559748  0.2875    ];[   0.30567414    0.3050511     0.30237328  166.        ];-0.028289190293074331;9.117.899.990.081.780
 ;Accuracy;Precison;Recall;F-Score;;;
Media Final:;0.32506024096385538;0.32527452488158448;0.32500282954861659;0.32373241062448183;;;
