 ,Classe 0,Classe 1,Classe 2,All Class
Execution Number,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score,Precision/Recall/F-Score/Support,Silhouette Coefficient,Time (seconds)
1,[ 0.47482014  0.27338129  0.1294964 ],[ 0.27966102  0.43181818  0.19354839],[   0.29256595    0.30167586    0.28065806  139.        ],0.4810001850128174
2,[ 0.47482014  0.27338129  0.1294964 ],[ 0.27966102  0.43181818  0.19354839],[   0.29256595    0.30167586    0.28065806  139.        ],0.2569999694824219
3,[ 0.47482014  0.27338129  0.1294964 ],[ 0.27966102  0.43181818  0.19354839],[   0.29256595    0.30167586    0.28065806  139.        ],0.2519998550415039
4,[ 0.47482014  0.27338129  0.1294964 ],[ 0.27966102  0.43181818  0.19354839],[   0.29256595    0.30167586    0.28065806  139.        ],0.22799992561340332
5,[ 0.47482014  0.27338129  0.1294964 ],[ 0.27966102  0.43181818  0.19354839],[   0.29256595    0.30167586    0.28065806  139.        ],0.24600005149841309
6,[ 0.47482014  0.27338129  0.1294964 ],[ 0.27966102  0.43181818  0.19354839],[   0.29256595    0.30167586    0.28065806  139.        ],0.2390000820159912
7,[ 0.47482014  0.27338129  0.1294964 ],[ 0.27966102  0.43181818  0.19354839],[   0.29256595    0.30167586    0.28065806  139.        ],0.24300003051757812
8,[ 0.47482014  0.27338129  0.1294964 ],[ 0.27966102  0.43181818  0.19354839],[   0.29256595    0.30167586    0.28065806  139.        ],0.24399995803833008
9,[ 0.47482014  0.27338129  0.1294964 ],[ 0.27966102  0.43181818  0.19354839],[   0.29256595    0.30167586    0.28065806  139.        ],0.24400019645690918
10,[ 0.47482014  0.27338129  0.1294964 ],[ 0.27966102  0.43181818  0.19354839],[   0.29256595    0.30167586    0.28065806  139.        ],0.25
11,[ 0.47482014  0.27338129  0.1294964 ],[ 0.27966102  0.43181818  0.19354839],[   0.29256595    0.30167586    0.28065806  139.        ],0.2330000400543213
12,[ 0.47482014  0.27338129  0.1294964 ],[ 0.27966102  0.43181818  0.19354839],[   0.29256595    0.30167586    0.28065806  139.        ],0.2390000820159912
13,[ 0.47482014  0.27338129  0.1294964 ],[ 0.27966102  0.43181818  0.19354839],[   0.29256595    0.30167586    0.28065806  139.        ],0.24399995803833008
14,[ 0.47482014  0.27338129  0.1294964 ],[ 0.27966102  0.43181818  0.19354839],[   0.29256595    0.30167586    0.28065806  139.        ],0.24300003051757812
15,[ 0.47482014  0.27338129  0.1294964 ],[ 0.27966102  0.43181818  0.19354839],[   0.29256595    0.30167586    0.28065806  139.        ],0.25300002098083496
16,[ 0.47482014  0.27338129  0.1294964 ],[ 0.27966102  0.43181818  0.19354839],[   0.29256595    0.30167586    0.28065806  139.        ],0.25999999046325684
17,[ 0.47482014  0.27338129  0.1294964 ],[ 0.27966102  0.43181818  0.19354839],[   0.29256595    0.30167586    0.28065806  139.        ],0.2369999885559082
18,[ 0.47482014  0.27338129  0.1294964 ],[ 0.27966102  0.43181818  0.19354839],[   0.29256595    0.30167586    0.28065806  139.        ],0.24900007247924805
19,[ 0.47482014  0.27338129  0.1294964 ],[ 0.27966102  0.43181818  0.19354839],[   0.29256595    0.30167586    0.28065806  139.        ],0.25
20,[ 0.47482014  0.27338129  0.1294964 ],[ 0.27966102  0.43181818  0.19354839],[   0.29256595    0.30167586    0.28065806  139.        ],0.23199987411499023
21,[ 0.47482014  0.27338129  0.1294964 ],[ 0.27966102  0.43181818  0.19354839],[   0.29256595    0.30167586    0.28065806  139.        ],0.23099994659423828
22,[ 0.47482014  0.27338129  0.1294964 ],[ 0.27966102  0.43181818  0.19354839],[   0.29256595    0.30167586    0.28065806  139.        ],0.2369999885559082
23,[ 0.47482014  0.27338129  0.1294964 ],[ 0.27966102  0.43181818  0.19354839],[   0.29256595    0.30167586    0.28065806  139.        ],0.24000000953674316
24,[ 0.47482014  0.27338129  0.1294964 ],[ 0.27966102  0.43181818  0.19354839],[   0.29256595    0.30167586    0.28065806  139.        ],0.21700000762939453
25,[ 0.47482014  0.27338129  0.1294964 ],[ 0.27966102  0.43181818  0.19354839],[   0.29256595    0.30167586    0.28065806  139.        ],0.2239999771118164
 ,Precison,Recall,F-Score
Media Final:,0.29256594724220625,0.3016758619547027,0.28065805863588023
