 ; ;Precision;Recall;F-Score;;;
Execution Number;Accuracy ;Casse0/1/2;Casse0/1/2;Casse0/1/2;All Class;Silhouette Coefficient;Time (seconds)
1;0.48333333333333334;[ 0.30666667  0.66      ];[ 0.4742268   0.48768473];[ 0.37246964  0.56090652];[   0.48333333    0.48095577    0.46668808  300.        ];-0.0009845203986865354;0.8450000286102295
2;0.48333333333333334;[ 0.30666667  0.66      ];[ 0.4742268   0.48768473];[ 0.37246964  0.56090652];[   0.48333333    0.48095577    0.46668808  300.        ];-0.0009845203986865354;0.6480000019073486
3;0.48333333333333334;[ 0.30666667  0.66      ];[ 0.4742268   0.48768473];[ 0.37246964  0.56090652];[   0.48333333    0.48095577    0.46668808  300.        ];-0.0009845203986865354;0.565000057220459
4;0.48333333333333334;[ 0.30666667  0.66      ];[ 0.4742268   0.48768473];[ 0.37246964  0.56090652];[   0.48333333    0.48095577    0.46668808  300.        ];-0.0009845203986865354;0.5770001411437988
5;0.48333333333333334;[ 0.30666667  0.66      ];[ 0.4742268   0.48768473];[ 0.37246964  0.56090652];[   0.48333333    0.48095577    0.46668808  300.        ];-0.0009845203986865354;0.6699998378753662
6;0.48333333333333334;[ 0.30666667  0.66      ];[ 0.4742268   0.48768473];[ 0.37246964  0.56090652];[   0.48333333    0.48095577    0.46668808  300.        ];-0.0009845203986865354;0.6689999103546143
7;0.48333333333333334;[ 0.30666667  0.66      ];[ 0.4742268   0.48768473];[ 0.37246964  0.56090652];[   0.48333333    0.48095577    0.46668808  300.        ];-0.0009845203986865354;0.5960001945495605
8;0.48333333333333334;[ 0.30666667  0.66      ];[ 0.4742268   0.48768473];[ 0.37246964  0.56090652];[   0.48333333    0.48095577    0.46668808  300.        ];-0.0009845203986865354;0.6630001068115234
9;0.48333333333333334;[ 0.30666667  0.66      ];[ 0.4742268   0.48768473];[ 0.37246964  0.56090652];[   0.48333333    0.48095577    0.46668808  300.        ];-0.0009845203986865354;0.5989999771118164
10;0.48333333333333334;[ 0.30666667  0.66      ];[ 0.4742268   0.48768473];[ 0.37246964  0.56090652];[   0.48333333    0.48095577    0.46668808  300.        ];-0.0009845203986865354;0.6970000267028809
11;0.48333333333333334;[ 0.30666667  0.66      ];[ 0.4742268   0.48768473];[ 0.37246964  0.56090652];[   0.48333333    0.48095577    0.46668808  300.        ];-0.0009845203986865354;0.6189999580383301
12;0.48333333333333334;[ 0.30666667  0.66      ];[ 0.4742268   0.48768473];[ 0.37246964  0.56090652];[   0.48333333    0.48095577    0.46668808  300.        ];-0.0009845203986865354;0.6200001239776611
13;0.48333333333333334;[ 0.30666667  0.66      ];[ 0.4742268   0.48768473];[ 0.37246964  0.56090652];[   0.48333333    0.48095577    0.46668808  300.        ];-0.0009845203986865354;0.5720000267028809
14;0.48333333333333334;[ 0.30666667  0.66      ];[ 0.4742268   0.48768473];[ 0.37246964  0.56090652];[   0.48333333    0.48095577    0.46668808  300.        ];-0.0009845203986865354;0.5590000152587891
15;0.48333333333333334;[ 0.30666667  0.66      ];[ 0.4742268   0.48768473];[ 0.37246964  0.56090652];[   0.48333333    0.48095577    0.46668808  300.        ];-0.0009845203986865354;0.7250001430511475
16;0.48333333333333334;[ 0.30666667  0.66      ];[ 0.4742268   0.48768473];[ 0.37246964  0.56090652];[   0.48333333    0.48095577    0.46668808  300.        ];-0.0009845203986865354;0.568000078201294
17;0.48333333333333334;[ 0.30666667  0.66      ];[ 0.4742268   0.48768473];[ 0.37246964  0.56090652];[   0.48333333    0.48095577    0.46668808  300.        ];-0.0009845203986865354;0.5769999027252197
18;0.48333333333333334;[ 0.30666667  0.66      ];[ 0.4742268   0.48768473];[ 0.37246964  0.56090652];[   0.48333333    0.48095577    0.46668808  300.        ];-0.0009845203986865354;0.6070001125335693
19;0.48333333333333334;[ 0.30666667  0.66      ];[ 0.4742268   0.48768473];[ 0.37246964  0.56090652];[   0.48333333    0.48095577    0.46668808  300.        ];-0.0009845203986865354;0.6380000114440918
20;0.48333333333333334;[ 0.30666667  0.66      ];[ 0.4742268   0.48768473];[ 0.37246964  0.56090652];[   0.48333333    0.48095577    0.46668808  300.        ];-0.0009845203986865354;0.5639998912811279
21;0.48333333333333334;[ 0.30666667  0.66      ];[ 0.4742268   0.48768473];[ 0.37246964  0.56090652];[   0.48333333    0.48095577    0.46668808  300.        ];-0.0009845203986865354;0.5699999332427979
22;0.48333333333333334;[ 0.30666667  0.66      ];[ 0.4742268   0.48768473];[ 0.37246964  0.56090652];[   0.48333333    0.48095577    0.46668808  300.        ];-0.0009845203986865354;0.681999921798706
23;0.48333333333333334;[ 0.30666667  0.66      ];[ 0.4742268   0.48768473];[ 0.37246964  0.56090652];[   0.48333333    0.48095577    0.46668808  300.        ];-0.0009845203986865354;0.5800001621246338
24;0.48333333333333334;[ 0.30666667  0.66      ];[ 0.4742268   0.48768473];[ 0.37246964  0.56090652];[   0.48333333    0.48095577    0.46668808  300.        ];-0.0009845203986865354;0.6500000953674316
25;0.48333333333333334;[ 0.30666667  0.66      ];[ 0.4742268   0.48768473];[ 0.37246964  0.56090652];[   0.48333333    0.48095577    0.46668808  300.        ];-0.0009845203986865354;0.6770000457763672
 ;Accuracy;Precison;Recall;F-Score;;;
Media Final:;0.48333333333333328;0.48333333333333306;0.48095576659387562;0.46668807560413356;;;
